armed,age,gender,race,state,mentalillness
crossbow,59,M,,WV,1
gun,46,M,H,CA,0
gun,33,M,H,NJ,1
gun,40,M,W,FL,0
knife,27,M,H,CA,0
gun,42,M,B,OK,0
gun,37,M,W,TN,0
gun,23,M,B,VA,0
gun,36,M,W,NV,0
unarmed,19,M,W,CA,0
gun,35,M,W,TX,0
unarmed,43,M,W,CA,0
toy weapon,25,M,W,TX,1
gun,20,M,W,OK,0
knife,42,M,W,NH,1
knife,29,M,B,CA,0
knife,42,M,H,CA,0
,31,M,W,CA,1
gun,18,M,B,TX,0
metal pole,33,M,W,AZ,0
gun,59,M,W,TX,0
gun,47,M,H,CA,0
gun,39,M,H,TX,1
knife,37,M,B,NJ,0
gun,35,M,W,MO,0
knife,28,M,W,KY,0
gun,59,M,W,OR,0
,62,M,W,NC,0
gun,50,M,W,UT,0
gun,68,M,W,AZ,0
gun,27,M,B,IL,0
gun,17,M,W,CA,1
sword,21,M,B,MO,0
Taser,38,M,W,CA,0
gun,54,M,W,NV,1
gun,20,M,B,GA,0
gun,25,M,B,IL,0
gun,31,M,W,CA,0
knife,35,M,N,CO,1
gun,60,M,W,TX,0
gun,24,M,W,IL,0
gun,27,M,W,WY,0
unarmed,36,M,B,FL,0
gun,20,M,B,GA,0
gun,24,M,W,CA,0
,23,M,H,MA,0
box cutter,41,M,W,CA,0
gun,20,M,B,FL,0
gun,76,M,,OH,0
metal pipe,43,M,W,MI,1
sword,29,M,H,WI,1
gun,35,M,B,FL,0
gun,30,M,W,KS,0
gun,24,M,O,TN,1
gun,23,M,N,WY,0
gun,29,M,W,AL,0
metal hand tool,25,M,B,CA,1
knife,27,M,W,WA,0
gun,50,M,W,CA,1
unarmed,19,M,B,TN,0
undetermined,24,M,H,TX,0
unarmed,23,M,B,FL,0
knife,22,M,W,CO,1
gun,46,M,W,AZ,0
gun,65,M,W,KS,0
unarmed,43,M,B,OH,0
gun,35,M,W,TX,0
knife,54,M,,CA,0
unarmed,47,M,W,GA,0
gun,24,M,W,FL,0
gun,35,M,W,GA,0
gun,25,M,H,WI,0
gun,27,M,B,PA,0
knife,26,M,B,OK,0
gun,34,M,B,OH,0
gun,32,M,W,SC,0
toy weapon,47,M,W,WY,0
gun,44,F,W,CA,1
unarmed,31,M,W,MN,1
gun,44,M,W,CA,0
knife,30,M,W,NC,0
blunt object,60,M,W,LA,1
gun,50,M,W,GA,1
toy weapon,36,M,B,NV,0
gun,59,M,B,FL,0
gun,33,M,B,LA,0
,19,M,W,SC,0
knife,56,M,W,SC,0
toy weapon,45,M,W,LA,1
knife,22,M,W,CO,0
knife,41,M,,AR,0
gun,34,M,H,NM,0
gun,53,M,W,UT,1
gun,48,M,W,NV,0
gun,25,M,W,CA,0
gun,30,M,H,TX,0
metal stick,47,M,H,CA,0
gun,33,M,H,NM,0
gun,34,M,W,NM,0
gun,52,M,,WV,0
gun,29,M,H,AZ,0
,63,M,W,TX,1
gun,49,M,B,CA,0
gun,18,M,W,PA,0
gun,71,M,W,VA,0
toy weapon,35,M,W,IN,1
undetermined,55,M,H,CA,1
gun,31,M,B,IL,1
knife,18,M,W,KY,0
knife,51,M,W,WI,1
gun,39,M,B,HI,0
gun,20,M,B,VA,0
hatchet,29,M,W,TN,1
gun,40,M,W,WA,0
knife,42,M,H,KY,0
gun,22,M,B,TX,0
unarmed,19,M,B,TX,0
sharp object,24,M,H,NV,1
toy weapon,30,M,W,CA,1
,53,M,W,MT,0
gun,25,M,B,NC,0
knife,28,M,B,CA,0
gun,33,M,,TX,0
gun,24,M,B,SC,0
gun,59,M,W,NC,0
gun,46,M,W,WA,0
,15,M,B,IN,0
gun,41,M,W,OK,1
toy weapon,77,M,,PA,1
meat cleaver,22,M,H,CA,0
,24,M,W,AZ,0
gun,34,M,W,ID,0
knife,48,M,W,TX,0
gun,24,M,W,TX,0
gun,27,M,B,CA,0
gun,27,M,H,CA,0
gun,27,M,B,OH,0
gun,49,M,W,NM,0
knife,30,F,B,CA,0
gun,38,M,B,NY,0
gun,26,M,H,TX,0
unarmed,30,M,B,MD,1
box cutter,53,M,W,CT,0
gun,23,M,B,CA,0
,34,M,B,CA,0
gun,30,M,W,NV,0
unarmed,43,M,W,IN,0
gun,29,M,H,CA,0
gun,47,M,W,TX,0
gun,35,M,B,TX,0
unarmed,40,M,H,CA,0
gun,18,M,B,MO,0
gun,24,M,B,MI,0
gun,29,M,W,WA,1
gun,44,M,W,NC,1
gun,17,M,H,CA,1
gun,19,M,W,OH,1
unarmed,50,M,W,AL,1
gun,57,M,W,WA,1
,30,M,W,MD,0
knife,38,M,W,NC,0
gun,31,M,W,MN,0
carjack,29,M,W,CA,0
,26,M,W,KS,0
knife,64,M,W,VA,0
gun,39,M,B,NY,0
gun,57,M,W,NV,0
gun,36,M,W,FL,1
gun,36,M,W,AL,0
toy weapon,21,M,W,NJ,0
gun,53,M,B,NC,0
gun,30,M,H,NM,0
knife,34,M,B,PA,0
gun,53,M,W,FL,0
gun,45,M,W,AZ,0
gun,22,M,H,FL,0
toy weapon,22,M,W,TN,1
gun,46,M,W,TN,0
gun,27,M,W,UT,1
chain,30,M,B,CA,0
box cutter,54,M,W,CA,0
contractor's level,29,M,H,CA,0
box cutter,42,M,B,TX,0
undetermined,41,M,H,TX,1
gun,28,M,W,UT,1
unarmed,61,M,B,NY,0
gun,23,M,W,TX,0
gun,25,M,B,NV,0
knife,,M,W,TX,0
unarmed,29,M,H,IL,0
gun,20,M,W,OK,0
gun,40,M,H,AZ,0
knife,45,M,W,CO,0
guns and explosives,33,M,B,WV,0
gun,76,M,W,OH,0
gun,47,M,W,NM,0
gun,45,M,W,AZ,1
unarmed,40,M,H,CA,1
gun,37,M,W,SD,1
gun,27,M,W,CA,0
gun,36,M,W,TX,0
knife,23,M,W,NH,1
metal pipe,49,M,H,IN,0
toy weapon,21,M,B,NC,1
metal pipe,32,M,H,CA,1
gun,35,M,B,VA,0
unarmed,28,F,B,VA,0
gun,59,M,H,FL,0
gun,28,M,B,LA,1
gun,45,M,W,NM,0
metal pipe,45,M,H,CA,0
gun,19,M,N,AK,0
gun,25,M,W,WI,0
guns and explosives,37,M,B,MO,1
gun,33,M,N,AK,0
knife,59,M,A,CA,0
knife,31,M,A,NY,0
knife,35,M,,CA,1
gun,29,M,B,IN,0
gun,32,M,W,CA,0
gun,41,M,H,CA,0
gun,31,M,W,PA,0
gun,44,M,W,CO,0
undetermined,23,M,W,AL,0
gun,45,M,W,TN,0
gun,39,M,W,IA,1
gun,67,M,B,OK,1
gun,29,M,W,TX,0
gun,25,M,B,KY,0
unarmed,28,M,W,CA,1
unknown weapon,21,M,B,LA,0
gun,32,M,H,CA,0
gun,51,M,H,FL,1
gun,39,M,H,CA,0
gun,27,M,B,LA,0
gun,31,M,W,SD,1
gun,50,M,W,MI,0
gun,,M,W,KY,0
,32,M,W,CA,0
undetermined,47,M,W,TN,0
gun,46,M,W,LA,0
gun,57,M,W,AL,1
gun,23,M,W,VA,0
gun,56,M,W,IN,0
gun,24,M,H,TX,1
gun,27,M,W,CA,0
gun,23,F,W,CA,0
gun,26,M,W,FL,0
stapler,34,M,H,FL,0
unarmed,21,M,W,TX,0
gun,32,M,B,CA,0
gun,33,M,W,FL,1
gun,55,M,W,CA,1
gun,26,M,,NV,0
knife,48,M,O,UT,0
gun,35,M,W,TX,0
unarmed,19,M,B,MD,0
gun,45,M,W,VA,0
gun,28,M,B,DE,1
knife,42,M,H,FL,0
gun,17,M,W,CO,0
screwdriver,30,M,O,MN,1
unarmed,21,M,W,OH,1
gun,45,M,W,AZ,0
box cutter,33,M,B,IL,0
knife,46,M,B,LA,0
gun,23,M,H,NM,0
knife,37,F,H,CA,1
gun,43,M,W,GA,0
gun,40,M,H,TX,0
toy weapon,59,M,H,CA,0
unarmed,31,M,B,FL,0
blunt object,46,M,N,SD,0
unarmed,37,M,W,MN,0
gun,28,M,B,WV,0
gun,28,M,H,AZ,0
knife,55,F,W,OR,1
unarmed,29,M,W,TX,0
knife,26,M,H,CA,0
beer bottle,45,M,,CA,0
gun,27,M,W,AL,1
gun,31,M,B,IL,0
gun,51,M,W,TX,0
gun,50,M,W,NJ,0
unarmed,27,M,O,OH,0
gun,18,M,B,OK,0
gun,39,M,,CA,1
machete,46,M,H,FL,0
knife,19,M,B,MD,0
gun,62,F,,CA,0
,49,M,W,MA,1
gun,31,M,W,CT,0
,38,M,W,CA,1
crossbow,40,M,W,MI,0
unknown weapon,35,M,H,IL,0
undetermined,34,M,H,CA,0
gun,44,M,A,LA,0
gun,23,M,B,SC,0
machete,43,M,H,TX,0
gun,,M,B,OK,0
gun,31,M,W,MS,0
gun,27,M,W,GA,0
gun,46,F,W,FL,1
,18,M,H,CA,0
gun,59,M,,CA,0
gun,57,M,B,AL,0
gun,15,M,H,FL,0
gun,25,M,B,OH,0
gun,50,F,W,NV,1
toy weapon,31,M,W,OH,0
gun,35,M,W,WA,0
gun,27,M,H,CA,0
gun,20,M,B,TX,0
unarmed,27,M,H,CA,0
gun,45,M,,GA,0
undetermined,33,M,B,MS,0
gun,27,M,W,TX,1
toy weapon,22,M,H,CA,0
knife,28,M,B,PA,1
gun,31,M,B,FL,0
knife,28,M,W,CA,1
,53,M,B,CA,0
toy weapon,30,M,W,KY,0
toy weapon,39,M,B,CA,0
gun,40,M,H,NM,0
knife,30,M,W,LA,0
gun,21,M,W,IA,0
knife,35,M,H,CA,0
unarmed,21,M,H,CA,1
gun,47,M,W,MI,1
knife,38,M,B,LA,0
gun,36,M,B,CA,0
undetermined,53,M,W,KY,0
gun,34,M,H,CA,0
gun,34,M,B,FL,0
undetermined,30,M,B,CA,0
gun,28,M,W,OH,1
gun,47,M,W,WI,0
undetermined,49,M,W,AK,0
gun,,M,,NY,0
gun,36,M,W,GA,0
,45,M,B,MD,0
gun,21,F,B,DC,0
unarmed,18,M,O,FL,0
gun,25,M,B,GA,0
unarmed,29,M,B,CA,0
gun,57,M,W,MS,0
gun,34,M,B,FL,0
gun,35,M,W,OR,0
gun,,M,B,OH,0
gun,18,M,W,TN,0
gun,62,M,W,KY,0
gun,29,M,H,TX,0
gun,25,M,B,TX,0
knife,30,M,W,OK,0
gun,24,M,B,TX,0
gun,52,M,W,FL,0
gun,33,M,W,CO,0
unarmed,56,M,B,AL,0
gun,49,M,W,MN,0
gun,20,M,W,CA,0
gun,62,M,W,ID,0
gun,62,M,B,DC,0
unarmed,6,M,W,LA,0
gun,30,M,W,MO,0
gun,57,M,B,TX,0
knife,18,M,O,CA,0
unarmed,47,M,W,CA,0
gun,48,M,W,WV,0
gun,20,M,W,OK,1
hammer,30,M,W,MO,0
gun,36,F,W,SC,1
gun,51,M,W,OR,1
,55,M,W,NV,0
undetermined,48,M,W,NC,0
,20,M,B,SC,0
gun,25,M,H,TX,1
gun,26,M,W,WV,0
gun,45,M,H,CA,0
beanbag gun,35,M,H,CA,0
gun,34,M,H,CA,0
,36,M,H,CO,0
